ad_budget,num_leads,leads_answered,leads_not_answered,followup_1,followup_2,followup_3,followup_4,followup_5,not_closed,closed,calls_to_closed,calls_to_not_closed,customer_acquisition_cost,ltv_months,purchased,upsell,cumulative_profit,referred
10000,69,48,21,38,27,23,21,16,11,5,5,6,2000,9.0,1,0,2878.0,Yes
3000,34,21,13,16,12,10,9,6,2,4,3,3,750,30.0,1,0,15082.0,No
7000,62,37,25,30,22,19,18,13,9,4,4,2,1750,18.0,1,1,10192.0,No
10000,82,50,32,39,28,23,20,15,11,4,4,5,2500,11.0,1,0,4373.0,No
2000,25,14,11,10,8,7,6,4,2,2,3,5,1000,28.0,1,1,20341.0,Yes
1000,19,10,9,8,6,4,4,3,2,1,7,4,1000,5.0,1,0,1304.0,No
2000,29,16,13,12,9,8,7,5,3,2,3,2,1000,29.0,1,0,16474.0,Yes
2500,37,23,14,18,13,10,9,6,4,2,3,3,1250,28.0,1,1,21273.0,Yes
7000,63,41,22,32,23,19,17,12,8,4,4,4,1750,15.0,1,1,8888.0,No
10000,82,53,29,44,33,26,24,18,13,5,4,4,2000,20.0,1,1,12599.0,No
500,13,5,8,3,2,2,2,1,0,1,6,0,500,7.0,1,1,2703.0,No
3000,34,23,11,17,13,10,9,7,4,3,3,4,1000,28.0,1,1,22142.0,No
2500,36,22,14,17,13,10,9,6,3,3,3,3,833,26.0,1,1,19716.0,Yes
2000,30,16,14,12,10,8,7,5,3,2,2,4,1000,40.0,1,1,29675.0,Yes
1000,20,9,11,7,5,4,3,2,1,1,5,5,1000,11.0,1,0,3184.0,No
2000,37,22,15,18,13,10,9,6,4,2,2,5,1000,39.0,1,1,28530.0,Yes
12000,78,43,35,34,25,20,17,12,9,3,5,4,4000,13.0,1,1,,No
2000,33,17,16,13,10,8,7,5,4,1,2,4,2000,35.0,1,0,16478.0,No
3000,38,27,11,20,15,12,10,8,5,3,2,5,1000,36.0,1,0,18197.0,No
5000,53,33,20,25,18,14,12,9,6,3,2,3,1666,37.0,1,1,27395.0,Yes
2500,34,23,11,17,13,11,10,7,4,3,3,5,833,31.0,1,1,23331.0,Yes
15000,99,51,48,40,31,25,23,16,11,5,3,4,3000,23.0,1,0,8539.0,No
15000,99,53,46,44,33,27,23,16,12,4,5,4,3750,13.0,1,0,4471.0,No
2000,31,18,13,14,11,9,8,6,3,3,1,4,666,36.0,1,0,18392.0,No
3000,35,24,11,18,14,12,11,7,4,3,2,4,1000,36.0,1,1,27018.0,Yes
2000,31,19,12,15,11,9,8,6,4,2,2,6,1000,37.0,1,0,18359.0,No
2000,29,16,13,12,9,8,7,5,3,2,1,4,1000,35.0,1,1,24934.0,Yes
800,16,8,8,5,4,3,3,2,1,1,6,4,800,5.0,1,0,1167.0,No
4000,45,29,16,22,15,12,10,7,4,3,2,5,1333,34.0,1,1,23853.0,Yes
3000,41,28,13,21,15,11,10,7,4,3,2,4,1000,36.0,1,1,23702.0,Yes
800,17,8,9,6,4,4,3,2,2,0,0,5,0,7.0,0,0,0.0,No
2000,31,17,14,13,9,8,7,5,2,3,3,3,666,32.0,1,1,22967.0,Yes
10000,76,41,35,33,24,21,19,14,10,4,5,4,2500,11.0,1,0,3736.0,No
2000,31,18,13,13,10,8,7,5,3,2,2,5,1000,36.0,1,0,18481.0,No
1500,26,15,11,11,8,7,6,4,3,1,6,3,1500,7.0,1,1,3021.0,No
3000,43,28,15,22,15,13,11,9,5,4,2,5,750,37.0,0,0,0.0,No
20000,120,59,61,44,36,30,27,20,14,6,6,4,3333,3.0,0,0,0.0,No
2000,31,19,12,15,12,9,8,5,3,2,2,3,1000,35.0,1,0,17277.0,Yes
5000,53,37,16,29,22,18,17,13,8,5,2,5,1000,36.0,1,0,21795.0,Yes
6000,63,38,25,30,22,18,16,12,8,4,4,5,1500,19.0,1,1,10386.0,Yes
2000,29,15,14,12,9,7,7,4,2,2,2,4,1000,34.0,1,1,25711.0,Yes
6000,61,35,26,27,20,16,14,10,7,3,4,4,2000,19.0,1,0,6318.0,Yes
2500,34,24,10,20,15,12,11,7,4,3,2,5,833,37.0,1,1,27372.0,Yes
5000,52,35,17,26,20,16,14,11,6,5,3,4,1000,27.0,1,1,19456.0,Yes
5000,53,34,19,27,19,15,13,10,6,4,3,4,1250,32.0,1,1,23028.0,Yes
3000,39,27,12,22,15,13,11,8,4,4,2,4,750,40.0,1,1,29094.0,Yes
1000,20,9,11,7,5,4,4,3,2,1,6,3,1000,9.0,1,0,2457.0,No
8000,71,48,23,38,30,25,22,17,12,5,4,4,1600,24.0,1,1,13578.0,Yes
2000,33,20,13,15,11,9,9,6,4,2,3,3,1000,26.0,1,1,18519.0,No
1500,27,15,12,11,8,7,6,4,3,1,5,4,1500,15.0,1,1,7876.0,No
800,18,8,10,6,5,4,3,2,2,0,0,3,0,14.0,0,0,0.0,No
4000,45,25,20,20,14,11,10,7,4,3,2,3,1333,38.0,0,0,0.0,No
5000,50,31,19,24,17,15,14,9,6,3,2,5,1666,34.0,1,1,24615.0,Yes
500,14,6,8,4,3,2,2,1,0,1,5,0,500,15.0,1,1,6821.0,No
3000,41,28,13,22,17,14,13,9,5,4,2,4,750,33.0,1,1,25562.0,Yes
2000,33,18,15,14,10,8,7,5,2,3,3,5,666,31.0,1,0,15697.0,No
5000,51,31,20,24,20,17,15,12,8,4,3,3,1250,27.0,1,1,21103.0,Yes
1500,25,14,11,10,7,5,5,4,3,1,6,4,1500,9.0,1,0,2289.0,No
5000,47,32,15,26,19,16,14,10,5,5,4,4,1000,27.0,1,1,19809.0,Yes
2500,34,23,11,19,15,12,11,9,5,4,2,5,625,38.0,1,1,28119.0,Yes
12000,95,45,50,36,26,21,19,15,12,3,5,4,4000,9.0,0,0,0.0,No
1500,25,14,11,10,7,6,5,3,2,1,6,3,1500,8.0,1,0,2131.0,No
2500,36,22,14,16,12,10,9,6,2,4,3,5,625,27.0,1,1,18530.0,Yes
1000,19,10,9,7,5,4,4,3,3,0,0,5,0,,0,0,0.0,No
12000,91,52,39,41,27,21,19,12,10,2,5,4,6000,11.0,1,0,3673.0,Yes
10000,74,43,31,36,26,21,18,14,9,5,4,5,2000,17.0,1,0,5865.0,Yes
2000,30,16,14,13,10,8,8,5,3,2,2,6,1000,37.0,1,0,19009.0,Yes
5000,43,28,15,22,17,14,13,10,5,5,3,4,1000,28.0,1,0,14418.0,No
7000,64,33,31,26,19,16,14,10,6,4,5,3,1750,10.0,1,0,3118.0,No
4000,41,28,13,21,16,13,12,8,5,3,2,4,1333,37.0,1,1,25712.0,Yes
3000,41,27,14,20,15,11,10,8,4,4,3,3,750,26.0,1,1,,Yes
2000,32,19,13,15,11,9,8,5,3,2,1,5,1000,38.0,1,0,18035.0,Yes
1000,20,9,11,7,5,4,4,3,1,2,6,3,500,8.0,1,0,1687.0,No
10000,87,51,36,42,31,24,22,17,10,7,5,4,1428,12.0,1,0,4773.0,No
10000,75,41,34,32,25,19,17,11,9,2,5,3,5000,12.0,1,0,4468.0,No
5000,58,37,21,28,21,17,14,10,6,4,3,4,1250,33.0,1,1,,Yes
2000,32,17,15,13,10,7,7,4,2,2,2,4,1000,35.0,1,1,26104.0,Yes
2500,34,24,10,19,14,12,11,8,5,3,3,5,833,24.0,0,0,0.0,No
6000,63,37,26,28,21,18,17,11,7,4,5,4,1500,11.0,1,0,4096.0,Yes
10000,75,46,29,36,27,21,19,13,8,5,5,4,2000,13.0,1,0,,No
10000,76,45,31,37,28,24,22,15,9,6,5,3,1666,11.0,1,1,6054.0,No
7000,62,35,27,28,21,17,16,11,8,3,5,4,2333,11.0,1,0,4162.0,No
5000,51,34,17,26,19,16,15,11,6,5,2,3,1000,37.0,1,1,25494.0,Yes
1000,18,9,9,7,5,4,4,3,2,1,6,5,1000,6.0,1,0,1536.0,No
1500,27,14,13,10,7,6,6,4,3,1,5,4,1500,15.0,1,1,6815.0,No
10000,79,51,28,40,28,23,22,15,12,3,4,6,3333,22.0,1,0,8683.0,No
4000,47,30,17,24,17,14,13,10,6,4,2,4,1000,42.0,1,0,21986.0,No
500,12,5,7,4,2,2,2,1,0,1,5,0,500,13.0,1,1,6206.0,No
1000,17,8,9,6,4,3,3,2,1,1,6,4,1000,8.0,1,0,2316.0,No
5000,53,34,19,27,20,16,14,10,6,4,3,4,1250,28.0,1,0,15282.0,No
500,11,5,6,4,3,2,2,1,0,1,5,0,500,13.0,1,0,2907.0,Yes
1500,25,14,11,10,8,7,6,4,3,1,7,5,1500,7.0,1,0,1935.0,No
4000,42,28,14,21,17,14,12,8,4,4,2,4,1000,38.0,1,1,27682.0,Yes
5000,59,34,25,26,19,16,14,10,6,4,2,4,1250,34.0,1,1,25494.0,Yes
5000,55,33,22,24,19,17,15,11,7,4,3,3,1250,24.0,0,0,0.0,No
2000,30,18,12,14,10,8,7,5,3,2,3,4,1000,30.0,1,1,22591.0,No
6000,63,41,22,30,23,18,16,11,8,3,5,5,2000,15.0,1,0,5433.0,No
2000,29,15,14,12,9,7,7,4,3,1,2,5,2000,34.0,1,0,17134.0,No
2000,31,17,14,14,10,8,8,5,3,2,2,3,1000,35.0,1,0,20320.0,Yes
6000,59,37,22,31,23,19,17,12,8,4,5,5,1500,14.0,1,0,5086.0,No
5000,53,37,16,30,20,16,15,10,5,5,3,5,1000,18.0,1,1,13509.0,No
8000,75,40,35,32,25,20,18,13,9,4,4,3,2000,16.0,1,1,10531.0,Yes
5000,55,35,20,27,19,17,15,12,6,6,3,4,833,28.0,1,0,15778.0,No
4000,47,31,16,24,18,15,13,9,5,4,3,4,1000,29.0,1,1,21791.0,Yes
1000,18,9,9,7,5,4,4,3,2,1,5,3,1000,14.0,1,1,7369.0,Yes
2500,32,24,8,19,14,11,10,7,4,3,2,3,833,34.0,0,0,0.0,No
2000,30,17,13,13,10,8,7,5,3,2,2,4,1000,30.0,1,0,16820.0,Yes
2000,30,15,15,12,9,7,7,5,3,2,2,4,1000,31.0,1,1,23354.0,Yes
15000,95,53,42,43,32,26,23,16,12,4,5,6,3750,9.0,1,0,3140.0,No
2500,40,29,11,23,18,15,14,9,5,4,2,6,625,41.0,0,0,0.0,No
10000,87,54,33,40,31,24,21,14,10,4,5,4,2500,11.0,1,0,4241.0,No
5000,54,34,20,27,19,15,13,9,6,3,3,5,1666,26.0,1,1,18351.0,Yes
7000,65,42,23,32,24,21,20,13,9,4,4,3,1750,14.0,1,0,5463.0,No
3000,38,26,12,21,16,13,12,8,5,3,4,3,1000,24.0,1,1,16771.0,Yes
4000,43,27,16,20,15,12,11,7,4,3,3,4,1333,31.0,1,1,22714.0,Yes
3000,39,27,12,20,15,12,11,7,5,2,2,3,1500,38.0,1,1,28095.0,Yes
1500,26,16,10,13,10,8,7,5,3,2,6,4,750,7.0,1,0,2014.0,No
6000,54,36,18,29,21,15,14,10,8,2,5,3,3000,12.0,1,0,4939.0,No
2000,31,17,14,13,9,7,7,5,3,2,3,4,1000,29.0,1,1,19712.0,No
500,13,6,7,4,3,2,2,1,1,0,0,4,0,1.0,0,0,0.0,No
5000,46,33,13,27,19,16,15,11,7,4,3,5,1250,29.0,1,1,23013.0,Yes
1500,24,12,12,9,7,5,5,3,2,1,7,4,1500,9.0,1,0,2252.0,No
12000,87,49,38,40,29,22,20,13,9,4,5,4,3000,12.0,1,0,4112.0,No
15000,114,56,58,44,32,26,24,15,10,5,5,3,3000,14.0,1,0,4859.0,Yes
12000,92,54,38,41,30,25,23,17,12,5,5,4,2400,15.0,1,0,5402.0,No
2500,32,21,11,17,12,10,9,7,4,3,2,2,833,39.0,1,1,26493.0,Yes
500,13,7,6,5,3,3,2,1,1,0,0,5,0,2.0,0,0,0.0,No
12000,81,46,35,37,28,23,20,14,10,4,4,5,3000,17.0,1,1,9559.0,Yes
2500,37,23,14,18,14,12,11,7,5,2,2,5,1250,34.0,0,0,0.0,No
15000,99,60,39,46,32,25,23,16,11,5,5,3,3000,13.0,1,0,5538.0,No
15000,101,61,40,47,35,29,26,19,14,5,4,4,3000,17.0,1,0,6277.0,No
8000,75,49,26,37,28,23,21,15,10,5,5,3,1600,12.0,1,0,4456.0,No
2000,28,15,13,12,10,8,7,5,3,2,2,4,1000,35.0,1,1,26153.0,Yes
2500,32,21,11,17,12,10,9,7,4,3,3,3,833,33.0,1,1,24344.0,No
8000,67,41,26,31,23,19,17,12,8,4,5,4,2000,8.0,1,0,3086.0,No
2000,32,17,15,13,10,8,7,5,2,3,1,3,666,35.0,1,1,27236.0,Yes
1500,23,14,9,11,8,7,6,4,3,1,6,4,1500,9.0,1,0,2456.0,No
4000,38,26,12,20,15,12,11,8,5,3,2,2,1333,35.0,1,0,18822.0,No
12000,87,38,49,31,20,17,15,11,7,4,4,6,3000,18.0,1,0,5669.0,Yes
5000,54,37,17,27,21,17,16,11,6,5,3,4,1000,23.0,1,1,17712.0,Yes
4000,49,32,17,24,18,14,13,9,5,4,2,4,1000,39.0,1,0,20061.0,No
1000,19,9,10,7,5,4,4,3,2,1,6,5,1000,9.0,1,0,2580.0,No
4000,45,29,16,22,15,12,11,7,4,3,2,3,1333,28.0,1,0,14780.0,No
20000,130,75,55,59,45,36,33,23,15,8,4,3,2500,18.0,1,0,7552.0,Yes
1500,22,13,9,10,7,6,5,4,3,1,5,5,1500,15.0,1,1,7160.0,No
3000,38,26,12,19,14,11,10,7,4,3,3,4,1000,28.0,1,1,21136.0,Yes
10000,81,49,32,38,30,25,21,15,10,5,5,3,2000,14.0,1,0,4590.0,No
6000,60,37,23,29,21,18,15,11,8,3,6,5,2000,6.0,1,0,2554.0,No
5000,51,34,17,28,20,16,15,10,5,5,2,4,1000,38.0,1,0,20224.0,No
5000,53,34,19,27,19,16,15,10,5,5,3,5,1000,22.0,1,1,18102.0,Yes
2500,29,20,9,15,11,9,8,6,3,3,3,4,833,29.0,1,1,22856.0,Yes
2000,29,17,12,13,9,7,6,5,3,2,3,3,1000,26.0,1,1,19567.0,Yes
7000,66,44,22,34,24,19,18,12,9,3,4,4,2333,20.0,1,0,6406.0,No
7000,61,40,21,32,23,20,18,14,10,4,4,2,1750,18.0,1,1,10823.0,No
10000,80,47,33,40,29,24,22,16,10,6,4,3,1666,17.0,1,1,9193.0,No
12000,92,53,39,43,31,25,23,16,13,3,4,4,4000,18.0,1,0,6436.0,No
3000,38,24,14,19,15,12,11,8,5,3,3,5,1000,28.0,0,0,0.0,No
3000,39,27,12,21,15,13,12,8,6,2,3,5,1500,31.0,1,0,16320.0,No
7000,61,36,25,28,21,18,16,11,7,4,4,3,1750,16.0,0,0,0.0,No
5000,52,33,19,24,18,14,13,10,5,5,2,3,1000,36.0,1,1,26546.0,Yes
5000,54,37,17,29,24,20,18,12,6,6,2,5,833,36.0,1,1,22599.0,Yes
7000,65,33,32,26,19,16,14,9,5,4,5,4,1750,13.0,1,1,7396.0,Yes
10000,77,42,35,33,26,21,19,14,10,4,4,4,2500,20.0,1,0,6785.0,No
2000,31,17,14,13,9,7,7,5,3,2,3,5,1000,26.0,1,1,21276.0,Yes
2500,36,24,12,19,14,12,10,7,4,3,3,4,833,28.0,1,0,15813.0,No
1000,17,8,9,6,4,3,3,2,2,0,0,4,0,2.0,0,0,0.0,No
4000,49,30,19,23,18,14,13,10,6,4,2,4,1000,34.0,1,1,24711.0,Yes
800,17,7,10,5,3,3,3,2,2,0,0,3,0,3.0,0,0,0.0,No
3000,40,27,13,21,14,11,10,8,5,3,2,4,1000,35.0,1,1,24380.0,Yes
4000,49,34,15,26,19,15,14,10,7,3,3,2,1333,26.0,1,0,14279.0,No
2000,28,16,12,13,9,8,7,4,2,2,2,4,1000,36.0,1,1,27112.0,Yes
4000,44,31,13,24,18,15,13,10,7,3,2,5,1333,36.0,1,1,28528.0,Yes
800,17,8,9,6,5,3,3,2,1,1,5,4,800,10.0,1,0,2592.0,No
800,16,7,9,5,4,3,3,2,1,1,7,5,800,4.0,1,0,1017.0,No
8000,77,46,31,38,30,24,22,15,12,3,5,5,2666,13.0,1,1,6855.0,No
2500,33,20,13,15,12,9,8,6,4,2,2,4,1250,34.0,1,1,26035.0,Yes
1000,19,9,10,7,5,4,4,3,2,1,6,4,1000,8.0,1,0,2016.0,No
3000,39,28,11,23,18,15,13,9,5,4,3,4,750,29.0,1,1,22210.0,Yes
6000,54,34,20,26,19,16,14,10,6,4,4,5,1500,15.0,1,0,5021.0,No
1500,25,15,10,12,9,7,7,4,2,2,6,4,750,8.0,1,1,3773.0,No
4000,47,31,16,24,18,14,12,7,5,2,2,4,2000,39.0,1,0,22304.0,Yes
1000,19,10,9,7,5,4,4,3,3,0,0,3,0,3.0,0,0,0.0,No
800,17,8,9,6,4,4,3,2,1,1,6,4,800,8.0,1,1,4251.0,No
3000,37,27,10,20,15,13,11,7,3,4,3,5,750,26.0,1,0,13063.0,Yes
4000,42,28,14,23,18,15,13,9,6,3,3,4,1333,31.0,1,0,14295.0,No
5000,54,38,16,30,23,18,16,12,7,5,3,4,1000,28.0,1,1,19789.0,Yes
